,Gene,Transcription Rates mRNA/hr,Key,Value
0,A1,10,,
1,A2,#N/A-se,,
2,AAC1,24,,
3,AAC3,15,,
4,AAH1,6,,
5,AAP1,17,,
6,AAR2,29,,
7,AAT1,12,,
8,AAT2,18,,
9,ABC1,25,,
10,ABD1,21,,
11,ABF1,12,,
12,ABF2,16,,
13,ABP1,39,,
14,ABZ1,20,,
15,ACB1,10,,
16,ACC1,12,,
17,ACE2,#N/A-nc,,
18,ACF2,20,,
19,ACH1,20,,
20,ACO1,23,,
21,ACR1,12,,
22,ACS1,24,,
23,ACS2,12,,
24,ACT1,17,,
25,ADA2,14,,
26,ADE1,18,,
27,ADE12,11,,
28,ADE13,17,,
29,ADE16,17,,
30,ADE17,14,,
31,ADE2,33,,
32,ADE3,16,,
33,ADE4,13,,
34,"ADE5,7",16,,
35,ADE6,12,,
36,ADE8,17,,
37,ADH1,15,,
38,ADH2,17,,
39,ADH3,13,,
40,ADH4,13,,
41,ADH5,12,,
42,ADK1,13,,
43,ADK2,15,,
44,ADP1,45,,
45,ADR1,40,,
46,AEP2,17,,
47,AFG1,14,,
48,AFG2,13,,
49,AFG3,22,,
50,AFR1,41,,
51,AGA1,11,,
52,AGA2,6,,
53,AGP1,22,,
54,AGP2,36,,
55,AGP3,19,,
56,AGT1,25,,
57,AHT1,#N/A-se,,
58,AIP1,20,,
59,AIP2,16,,
60,AKR1,21,,
61,AKR2,16,,
62,ALA1,12,,
63,ALD3,#N/A-nc,,
64,ALD5,#N/A-nc,,
65,ALD6,15,,
66,ALD7,55,,
67,ALF1,13,,
68,ALG1,21,,
69,ALG11,16,,
70,ALG2,11,,
71,ALG5,10,,
72,ALG6,16,,
73,ALG7,13,,
74,ALG8,10,,
75,ALG9,14,,
76,ALK1,20,,
77,ALO1,15,,
78,ALP1,#N/A-nc,,
79,ALPHA1,#N/A-se,,
80,ALPHA2,#N/A-se,,
81,ALR1,14,,
82,ALR2,24,,
83,AMD1,12,,
84,AMD2,13,,
85,AMS1,27,,
86,ANC1,11,,
87,ANP1,17,,
88,AOS1,19,,
